region,comuna,zona,comuna_name
1,1101,1,"iquique"
1,1107,1,"alto hospicio"
1,1401,1,"pozo almonte"
1,1402,2,"camiña"
1,1404,2,"huara"
1,1405,1,"pica"
2,2101,1,"antofagasta"
2,2102,1,"mejillones"
2,2103,2,"sierra gorda"
2,2104,1,"taltal"
2,2201,1,"calama"
2,2203,1,"san pedro de atacama"
2,2301,1,"tocopilla"
2,2302,1,"maría elena"
3,3101,1,"copiapó"
3,3102,1,"caldera"
3,3103,1,"tierra amarilla"
3,3201,1,"chañaral"
3,3202,1,"diego de almagro"
3,3301,1,"vallenar"
3,3302,2,"alto del carmen"
3,3303,1,"freirina"
3,3304,1,"huasco"
4,4101,1,"la serena"
4,4102,1,"coquimbo"
4,4103,1,"andacollo"
4,4104,1,"la higuera"
4,4105,2,"paiguano"
4,4106,1,"vicuña"
4,4201,1,"illapel"
4,4202,1,"canela"
4,4203,1,"los vilos"
4,4204,1,"salamanca"
4,4301,1,"ovalle"
4,4302,1,"combarbalá"
4,4303,1,"monte patria"
4,4304,1,"punitaqui"
4,4305,2,"río hurtado"
5,5101,1,"valparaíso"
5,5102,1,"casablanca"
5,5103,1,"concón"
5,5105,1,"puchuncaví"
5,5107,1,"quintero"
5,5109,1,"viña del mar"
5,5301,1,"los andes"
5,5302,1,"calle larga"
5,5303,1,"rinconada"
5,5304,1,"san esteban"
5,5401,1,"la ligua"
5,5402,1,"cabildo"
5,5403,1,"papudo"
5,5404,1,"petorca"
5,5405,1,"zapallar"
5,5501,1,"quillota"
5,5502,1,"calera"
5,5503,1,"hijuelas"
5,5504,1,"la cruz"
5,5506,1,"nogales"
5,5601,1,"san antonio"
5,5602,1,"algarrobo"
5,5603,1,"cartagena"
5,5604,1,"el quisco"
5,5605,1,"el tabo"
5,5606,1,"santo domingo"
5,5701,1,"san felipe"
5,5702,1,"catemu"
5,5703,1,"llaillay"
5,5704,1,"panquehue"
5,5705,1,"putaendo"
5,5706,1,"santa maría"
5,5801,1,"quilpué"
5,5802,1,"limache"
5,5803,1,"olmué"
5,5804,1,"villa alemana"
6,6101,1,"rancagua"
6,6102,1,"codegua"
6,6103,1,"coinco"
6,6104,1,"coltauco"
6,6105,1,"doñihue"
6,6106,1,"graneros"
6,6107,1,"las cabras"
6,6108,1,"machalí"
6,6109,1,"malloa"
6,6110,1,"mostazal"
6,6111,1,"olivar"
6,6112,1,"peumo"
6,6113,1,"pichidegua"
6,6114,1,"quinta de tilcoco"
6,6115,1,"rengo"
6,6116,1,"requínoa"
6,6117,1,"san vicente"
6,6201,1,"pichilemu"
6,6202,1,"la estrella"
6,6203,1,"litueche"
6,6204,1,"marchihue"
6,6205,1,"navidad"
6,6206,1,"paredones"
6,6301,1,"san fernando"
6,6302,1,"chépica"
6,6303,1,"chimbarongo"
6,6304,1,"lolol"
6,6305,1,"nancagua"
6,6306,1,"palmilla"
6,6307,1,"peralillo"
6,6308,1,"placilla"
6,6309,2,"pumanque"
6,6310,1,"santa cruz"
7,7101,1,"talca"
7,7102,1,"constitución"
7,7103,1,"curepto"
7,7104,1,"empedrado"
7,7105,1,"maule"
7,7106,1,"pelarco"
7,7107,1,"pencahue"
7,7108,1,"río claro"
7,7109,1,"san clemente"
7,7110,1,"san rafael"
7,7201,1,"cauquenes"
7,7202,1,"chanco"
7,7203,1,"pelluhue"
7,7301,1,"curicó"
7,7302,1,"hualañé"
7,7303,1,"licantén"
7,7304,1,"molina"
7,7305,1,"rauco"
7,7306,1,"romeral"
7,7307,1,"sagrada familia"
7,7308,1,"teno"
7,7309,1,"vichuquén"
7,7401,1,"linares"
7,7402,1,"colbún"
7,7403,1,"longaví"
7,7404,1,"parral"
7,7405,1,"retiro"
7,7406,1,"san javier"
7,7407,1,"villa alegre"
